AAPL,dt_date,Mkt-RF,SMB,HML,RF,Mom,_merge,AAPL_FF_merge_indicator,AAPL_RF
-0.1560697186210961,2001-02,-10.03,-0.65,12.23,0.38,12.6,both,both,-15.986971862109609
0.20931460333122476,2001-03,-7.25,0.26,6.47,0.42,8.65,both,both,20.511460333122475
0.15496254381766628,2001-04,7.93,0.5,-4.64,0.39,-8.01,both,both,15.106254381766627
-0.2173405986939161,2001-05,0.68,2.48,3.38,0.32,2.15,both,both,-22.054059869391608
0.16541434878239092,2001-06,-1.94,6.35,-1.26,0.28,0.62,both,both,16.26143487823909
-0.19182795617890047,2001-07,-2.13,-4.05,4.95,0.3,5.48,both,both,-19.482795617890048
-0.012773697489766311,2001-08,-6.4,2.19,2.86,0.31,5.46,both,both,-1.5873697489766312
-0.16388265885251052,2001-09,-9.24,-6.23,1.52,0.28,11.38,both,both,-16.668265885251053
0.13217280242455853,2001-10,2.48,7.49,-7.31,0.22,-8.32,both,both,12.997280242455853
0.21298516725041194,2001-11,7.53,-0.57,2.17,0.17,-8.61,both,both,21.128516725041194
0.028168479541129,2001-12,1.61,4.72,0.83,0.15,0.02,both,both,2.6668479541129
0.12876912896878534,2002-01,-1.44,1.17,3.42,0.14,3.65,both,both,12.736912896878533
-0.12216899719473173,2002-02,-2.3,-1.08,2.34,0.13,6.83,both,both,-12.346899719473173
0.09078449446701553,2002-03,4.24,4.09,1.08,0.13,-1.69,both,both,8.948449446701552
0.025347940829428817,2002-04,-5.21,5.82,4.01,0.15,7.7,both,both,2.3847940829428818
-0.03996807994485607,2002-05,-1.36,-3.27,1.52,0.14,3.09,both,both,-4.136807994485607
-0.239483463671196,2002-06,-7.23,4.08,0.37,0.13,6.24,both,both,-24.078346367119597
-0.13882708199104188,2002-07,-8.19,-5.25,-3.51,0.15,3.63,both,both,-14.032708199104189
-0.03342019308517041,2002-08,0.5,-2.8,3.01,0.14,1.87,both,both,-3.4820193085170414
-0.016948224770597653,2002-09,-10.34,2.42,1.26,0.14,9.18,both,both,-1.8348224770597654
0.10827279633719278,2002-10,7.84,-3.4,-3.76,0.14,-5.58,both,both,10.687279633719278
-0.03546776667097229,2002-11,5.96,3.26,-1.16,0.12,-16.43,both,both,-3.666776667097229
-0.07548420947633738,2002-12,-5.76,-0.04,2.11,0.11,9.72,both,both,-7.658420947633739
0.002094412738742557,2003-01,-2.57,1.34,-0.79,0.1,1.59,both,both,0.1094412738742557
0.045264201903501,2003-02,-1.88,-0.44,-1.36,0.09,1.21,both,both,4.4364201903501
-0.057962376739862265,2003-03,1.09,1.17,-2.11,0.1,1.4,both,both,-5.896237673986226
0.005659306376597728,2003-04,8.18,0.76,1.22,0.1,-9.35,both,both,0.46593063765977283
0.26230511300634696,2003-05,6.05,4.61,0.7,0.09,-10.75,both,both,26.140511300634696
0.06183754813735054,2003-06,1.42,1.7,0.14,0.1,-1.23,both,both,6.083754813735054
0.10598241222828575,2003-07,2.33,4.93,-1.53,0.07,-0.3,both,both,10.528241222828575
0.07257985981596637,2003-08,2.33,2.44,1.64,0.07,-0.53,both,both,7.187985981596637
-0.08359162245017648,2003-09,-1.24,0.85,0.14,0.08,-0.07,both,both,-8.439162245017648
0.10472976479175822,2003-10,6.08,2.59,2.21,0.07,4.01,both,both,10.402976479175821
-0.08650027304878849,2003-11,1.35,2.06,1.72,0.07,1.36,both,both,-8.72002730487885
0.021998349409624085,2003-12,4.29,-2.68,1.51,0.08,-5.54,both,both,2.1198349409624084
0.05568552678692629,2004-01,2.15,2.54,2.42,0.07,2.57,both,both,5.498552678692628
0.06028441779591742,2004-02,1.4,-1.57,0.95,0.06,-1.17,both,both,5.968441779591743
0.1304338090596857,2004-03,-1.32,1.73,0.23,0.09,0.19,both,both,12.953380905968572
-0.046597387774638066,2004-04,-1.81,-1.73,-3.23,0.08,-5.34,both,both,-4.739738777463806
